,bases_sequenced,File_name,Proportion_genome_covered_10x,primerset
72,88561716,146196-A_S12_L001_MTBH37RV.fasta.sam.bam,0.004013345,146196
73,11429,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0,146196
74,11506741,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.00044429,146196
75,23001501,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.000699757,146196
76,34537502,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.000919408,146196
77,46081932,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.00133355,146196
78,57550263,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.002067082,146196
79,69037489,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.002537667,146196
80,80555645,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.002862724,146196
81,92034207,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.003364364,146196
82,103588409,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.003742464,146196
83,115056818,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.004031026,146196
84,126618474,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.004594776,146196
85,138116478,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.004983076,146196
86,149620868,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.00524761,146196
87,161082522,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.00580932,146196
88,172662439,146196-B_S24_L001_MTBH37RV.fasta.sam.bam,0.006032825,146196
89,11507,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0,146196
90,11138068,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.000608632,146196
91,22240215,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.001224745,146196
92,33387460,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.001675835,146196
93,44574878,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.002202183,146196
94,55671282,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.002816935,146196
95,66807114,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.003030013,146196
96,77924533,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.003576989,146196
97,89067338,146196-C_S36_L001_MTBH37RV.fasta.sam.bam,0.003958942,146196
98,11108,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0,1482488
99,11860477,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.000594578,1482488
100,23673266,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.000932102,1482488
101,35452417,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.001280961,1482488
102,47324608,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.001616219,1482488
103,59156911,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.001992732,1482488
104,71005731,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.002294668,1482488
105,82828070,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.00283575,1482488
106,94656520,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.003137912,1482488
107,106470471,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.003463423,1482488
108,118293259,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.003903179,1482488
109,130110775,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.004262692,1482488
110,141981802,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.00460815,1482488
111,153814339,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.004975596,1482488
112,165635945,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.005343495,1482488
113,177464038,1482488-A_S3_L001_MTBH37RV.fasta.sam.bam,0.00568986,1482488
114,11584,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0,1482488
115,11638957,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,6.19E-05,1482488
116,23295848,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.000178849,1482488
117,34888262,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.000273601,1482488
118,46516539,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.000542442,1482488
119,58148352,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.000612939,1482488
120,69813782,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.001015747,1482488
121,81416269,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.001503786,1482488
122,93084710,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.001882793,1482488
123,104712796,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.002102444,1482488
124,116383261,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.002613151,1482488
125,127949274,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.003006439,1482488
126,139536164,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.003402219,1482488
127,151196445,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.003810241,1482488
128,162844604,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.004239117,1482488
129,174485921,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.004710835,1482488
130,186114493,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.00512407,1482488
131,197727842,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.005520078,1482488
132,209356686,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.005992023,1482488
